525.0;[17.32545171 18.48662696 20.45703901 26.93240115 10.03550984  5.25191374]
529.0;[17.24013066 18.35240816 20.52615084 26.9416196   9.98413047  5.2414005 ]
529.0;[17.28785789 18.27959582 20.59573842 26.94533277  9.88371618  5.240872  ]
525.0;[17.43777591 18.2035849  20.48845889 26.85133231 10.00233151  5.21383126]
529.0;[17.18609107 18.42190083 20.65080828 26.80278648  9.77262771  5.27267079]
529.0;[17.05613166 18.46612193 20.59511544 26.73663733  9.71955517  5.24944891]
529.0;[17.04375617 18.53058109 20.68068687 26.78231491  9.68641088  5.35457378]
529.0;[17.16416466 18.44246364 20.53073435 26.70585784  9.58188205  5.23280815]
529.0;[17.12584239 18.58689457 20.39279154 26.58571695  9.56712664  5.11939702]
529.0;[17.13436373 18.73015879 20.30979663 26.47874744  9.5993119   5.07480418]
529.0;[17.05668504 18.62771364 20.36039838 26.55815642  9.60424672  5.10746387]
532.0;[16.9702559  18.74485512 20.34707255 26.42460781  9.48451137  5.03244425]
532.0;[16.8481889  18.74912353 20.24093205 26.33504596  9.61112891  5.00811755]
525.0;[16.81872661 18.76128807 20.14638886 26.30392546  9.63220511  4.87476522]
532.0;[16.93753028 18.82015404 20.20050258 26.31770606  9.50482437  5.08528637]
532.0;[16.92386795 18.96517349 20.11228169 26.30686149  9.46295341  5.03488124]
518.0;[16.81176534 19.02850654 20.08958557 26.31424996  9.57076039  4.98258933]
521.0;[17.0515082  18.98023409 20.25803502 26.30198389  9.39575185  4.96619918]
518.0;[16.95510985 19.06043303 20.06064409 26.24977803  9.37778696  4.980018  ]
510.0;[16.83799133 19.09994721 19.98585627 26.42089532  9.42780313  4.92739927]
525.0;[16.93787481 18.88981014 20.05878593 26.25692066  9.59289499  4.97470634]
518.0;[16.79520753 19.03122253 20.06100098 26.42304889  9.31889439  4.90948723]
525.0;[16.91318621 18.88674614 20.07800228 26.18563822  9.41951736  4.99138596]
525.0;[16.86454615 18.90227836 20.10624484 26.32163063  9.51274047  4.96604817]
527.0;[16.96750613 19.02211263 20.0487449  26.1970088   9.48475053  5.04668438]
532.0;[16.88811784 18.97704607 20.23105531 26.39311277  9.50898886  5.15920133]
527.0;[16.81519428 19.05913203 20.10453076 26.26219263  9.55654845  5.10139645]
