230.0;[28.23350912 19.8243039  23.94384935 18.03980546]
256.0;[ 3.64327001 26.03599779  1.05475756  2.86481253]
248.0;[24.01452757 28.93519147 10.83540344  0.25363269]
202.0;[28.22429237 28.95021332  5.84528554  0.16945607]
417.0;[13.37178074 19.56849543 25.97956809 12.41641736]
362.0;[ 7.68340908 21.97025816 26.72334169  3.17580853]
316.0;[13.52755011 29.87425553  7.08754802 18.96736246]
386.0;[24.50237958  3.19610374 12.57426338 21.89381682]
314.0;[19.76473588 25.30360786 25.34239897 16.91104375]
400.0;[ 7.86462413 24.63294752 17.59216736 18.2611275 ]
399.0;[15.95257221 20.590143   11.07742398  1.3270189 ]
383.0;[ 3.89998571  5.86572563 21.21823257 24.50782665]
355.0;[24.65162676 22.50683707 14.60747413 20.24909766]
300.0;[26.44555683 10.69171203 13.34128956 29.83838069]
332.0;[16.7514624  29.55683662  7.68615889  4.51888536]
363.0;[17.68547918  2.94273885  9.75370538 10.13887657]
207.0;[22.41187816 23.88253906 29.50878398 26.90011396]
383.0;[18.18751671  4.97300559 12.54128198 27.02998717]
314.0;[24.72602041 12.26559577 19.77455883 15.88203371]
287.0;[ 7.92926627  2.38231064  1.29939373 13.65928735]
432.0;[ 9.87661974 25.14072364  9.05754181  9.96675651]
404.0;[ 7.08488051 11.64257259 21.4563181   2.07361078]
348.0;[22.46550248  3.46065959 25.98304741 17.82972014]
359.0;[13.61221798 16.99178607 11.67864367 11.137364  ]
426.0;[19.48502402 19.43644093 21.37942885  2.7488216 ]
336.0;[13.02910318 12.35565214 12.21558168  2.19892312]
335.0;[27.72402161 12.42981459 17.20791645 10.21425065]
261.0;[ 8.41837662 23.09921382  6.63511122 20.90893548]
424.0;[14.69360971  2.72730227  8.73102808 21.61495861]
380.0;[17.83296768  6.2399276  24.62312995 15.81056164]
279.0;[ 3.56526752 25.83022594  8.13346481  0.39282062]
353.0;[11.02290588 12.47677091 17.02022274  1.25899803]
317.0;[ 0.74676387 15.27126274 26.56344387 17.10526352]
450.0;[ 7.64474507 18.58707589 25.20827723 20.25986047]
386.0;[14.43955761 16.92584531 22.90302471  0.76517738]
371.0;[16.00627033 15.00176302  7.01117606 29.17428189]
373.0;[16.11455718 28.5480695  18.55027491  6.95608799]
369.0;[ 6.75506111 11.19249165 14.29313789  6.26524859]
251.0;[28.44120428 28.65647391  4.84596792 25.44121674]
265.0;[28.8499148  26.36311441  3.46229537 23.34289687]
352.0;[ 6.10092512 13.06815856  5.6053819  26.52096007]
383.0;[12.14734663 21.59360495 27.7075369  19.73366373]
348.0;[17.2332554  27.39964676  4.56528974 20.88099338]
415.0;[16.63703529 10.73029731  8.90758791 26.75543125]
399.0;[16.99765108 28.34669516  8.84289568 10.01247584]
373.0;[29.15749834 14.1353226   7.035182   14.30532587]
262.0;[17.24040233  5.25559558 22.44243897  3.3064874 ]
456.0;[ 5.09637351 14.46230246 21.52317325 17.39993434]
300.0;[29.42573318 17.37337964 13.69889174 27.39599247]
324.0;[10.88820972 26.6463286  24.35950206  3.46290953]
326.0;[ 7.08488051 11.64257259  9.2726198   1.3270189 ]
337.0;[17.73092338 11.64257259 21.4563181   1.3270189 ]
258.0;[ 9.87661974 25.14072364  8.73102808 21.61495861]
315.0;[14.69360971 25.14072364  9.05754181 21.61495861]
306.0;[13.37178074 19.96696888  8.90758791 26.75543125]
311.0;[16.63703529 19.56849543 25.97956809 26.75543125]
417.0;[ 5.09637351 14.46230246 25.20827723 20.25986047]
463.0;[ 7.64474507 14.46230246 19.73724941 20.19524744]
385.0;[ 7.86462413 24.63294752 21.37942885  2.7488216 ]
385.0;[19.48502402 24.63294752 17.59216736  2.7488216 ]
404.0;[ 7.08488051 11.64257259 21.4563181   2.07361078]
399.0;[15.95257221 20.590143   11.07742398  1.3270189 ]
432.0;[ 9.87661974 25.14072364  9.05754181  9.96675651]
424.0;[14.69360971  2.72730227  8.73102808 21.61495861]
417.0;[13.37178074 19.56849543 25.97956809 12.41641736]
415.0;[16.63703529 10.73029731  8.90758791 26.75543125]
456.0;[ 5.09637351 14.46230246 21.52317325 17.39993434]
450.0;[ 7.64474507 18.58707589 25.20827723 20.25986047]
400.0;[ 7.86462413 24.63294752 17.59216736 18.2611275 ]
426.0;[19.48502402 19.43644093 21.37942885  2.7488216 ]
386.0;[16.63703529 10.73029731  9.05754181  9.96675651]
274.0;[ 9.87661974 10.73029731  8.90758791  9.96675651]
450.0;[ 7.64474507 14.46230246 25.20827723 20.25986047]
457.0;[ 5.09637351 14.46230246 19.73724941 20.25986047]
416.0;[19.48502402 19.43644093 21.4563181   2.07361078]
407.0;[ 7.08488051 19.43644093 21.37942885  2.07361078]
453.0;[ 7.64474507 20.54765627 19.91612615 17.39993434]
417.0;[ 5.09637351 18.58707589 25.20827723 17.39993434]
352.0;[14.69360971  2.72730227 25.97956809 14.19796631]
349.0;[13.37178074  2.72730227  8.73102808 12.41641736]
415.0;[16.63703529 10.73029731  8.90758791 26.75543125]
432.0;[ 9.87661974 25.14072364  9.05754181  9.96675651]
463.0;[ 7.64474507 14.46230246 19.73724941 20.19524744]
417.0;[ 5.09637351 14.46230246 25.20827723 20.25986047]
426.0;[19.48502402 19.43644093 21.37942885  2.7488216 ]
404.0;[ 7.08488051 11.64257259 21.4563181   2.07361078]
450.0;[ 7.64474507 18.58707589 25.20827723 20.25986047]
456.0;[ 5.09637351 14.46230246 21.52317325 17.39993434]
424.0;[14.69360971  2.72730227  8.73102808 21.61495861]
417.0;[13.37178074 19.56849543 25.97956809 12.41641736]
417.0;[ 5.09637351 18.58707589 25.20827723 20.25986047]
450.0;[ 7.64474507 18.58707589 25.20827723 20.25986047]
258.0;[ 9.87661974 25.14072364  8.73102808 21.61495861]
315.0;[14.69360971 24.58882555  9.05754181 21.61495861]
456.0;[ 5.09637351 15.16631151 21.52317325 17.39993434]
451.0;[ 5.09637351 14.46230246 19.73724941 17.39993434]
450.0;[ 7.64474507 20.54765627 25.20827723 19.56420974]
446.0;[ 7.64474507 20.54765627 19.91612615 20.25986047]
274.0;[19.48502402 19.43644093 19.73724941 20.19524744]
458.0;[ 7.64474507 19.43644093 21.37942885 20.19524744]
417.0;[ 5.09637351 18.58707589 25.20827723 17.39993434]
450.0;[ 7.64474507 18.58707589 25.20827723 20.25986047]
432.0;[ 9.87661974 25.14072364  9.05754181  9.96675651]
424.0;[14.69360971  2.72730227  8.73102808 21.61495861]
457.0;[ 5.09637351 14.46230246 19.73724941 20.25986047]
456.0;[ 5.09637351 14.46230246 21.52317325 17.39993434]
453.0;[ 7.64474507 20.54765627 19.91612615 17.39993434]
450.0;[ 7.64474507 14.46230246 25.20827723 20.25986047]
426.0;[19.48502402 19.43644093 21.37942885  2.7488216 ]
463.0;[ 7.64474507 14.46230246 19.73724941 20.19524744]
450.0;[ 7.64474507 19.43644093 25.20827723 20.25986047]
458.0;[ 7.64474507 19.43644093 21.37942885 20.25986047]
450.0;[ 7.64474507 18.58707589 25.20827723 20.93847051]
441.0;[ 7.30238413 18.58707589 25.20827723 19.56420974]
457.0;[ 5.09637351 14.46230246 19.73724941 20.19524744]
474.0;[ 7.64474507 14.46230246 21.52317325 20.19524744]
444.0;[ 4.05550359 14.46230246 19.73724941 17.39993434]
458.0;[ 5.09637351 15.37510736 21.10922311 17.39993434]
