552.0;[ 9.79554736  1.16997202 19.47244233 15.53986966 12.19560234 24.56161774]
468.0;[24.27101267 23.77199809  4.5326415   1.27111467 15.80493829  4.44143264]
318.0;[23.58871836  3.75454187 14.66831103  2.8393002  22.39158642  7.5613801 ]
492.0;[21.83018526  0.75064208 15.48207945 20.45702384  7.71482982 24.05235915]
433.0;[27.60599561  0.21654012 18.80036511 21.46010206 16.70425031 16.49614765]
493.0;[ 0.5633234  13.95960924 19.547885   19.96908344 29.88768318  8.92069521]
368.0;[25.64983379 15.03294227 20.16205107 19.13048149 21.81920303 28.4862414 ]
522.0;[17.42924148  3.90817441 25.21044949 24.70104349  3.07301854 23.00328931]
480.0;[16.44965634 27.5397569  15.93347537  4.33254603 22.73853696 23.86648566]
432.0;[ 0.26884154 24.71130487  1.22135394  8.32875481 11.6727165  14.55279113]
555.0;[ 5.20183768  9.65463708 20.20414318 14.23414563 26.38221452 25.34720774]
353.0;[18.82495947 25.96670257 14.64595906 26.85150099 10.99254878 21.26242002]
396.0;[18.6174712  26.41822167 16.4412825   0.20183706 23.63974416 23.85353365]
428.0;[24.87800263 12.10325964  8.15614138  3.93902799 24.43186588 14.59197085]
322.0;[28.5174275   4.57060501 25.90972934  8.70057402  1.82432415 25.20084894]
524.0;[19.27072873  5.48832004  4.80397421 16.83315064 25.9391272  29.80908025]
445.0;[22.55035004 19.39357633  5.96567272  0.51655904  0.90035491 11.32054262]
505.0;[ 1.38963906 23.23964929 14.40760912 16.49809558 15.12265308  2.51737611]
507.0;[28.379756   27.96524736 23.01132944 12.18499687 12.78774573  7.10225674]
529.0;[11.39596373 27.69376972 17.37651022 18.08391773 14.19300758  6.83947851]
447.0;[28.72556387 26.27898875 21.30519282 25.68540997 15.16776294  7.24508742]
446.0;[22.01348062 28.81568863  3.63415261 10.70604957  2.46947557 25.17141377]
399.0;[21.5849393   3.29567765 15.99800549 10.42551101 28.72244526 10.14437256]
343.0;[ 7.15608248  7.6296759  11.17188441  0.23823257  7.32997401 12.44848236]
433.0;[26.27269249 20.73013778  3.98454598 12.89999528  6.98095805 14.54962682]
526.0;[17.44485846 14.74034209 15.45370102 25.08220327 12.92693568  5.50971256]
448.0;[24.20991961  9.55445291  0.24631054 25.79639911 19.39573949 14.2646572 ]
