306.0;[ 4.62488527 22.2014909   7.89945046 16.0121818 ]
189.0;[ 0.43724887 27.56241024 27.02144562  1.00264283]
369.0;[28.70848009  4.11627964  8.51485059 18.18249553]
253.0;[28.32675408 25.58206623  0.06777701 15.63678082]
381.0;[16.561129   14.56132241 23.04402462  4.82150259]
274.0;[22.93681351  0.62429394  4.05630535  3.48819052]
329.0;[ 9.29692753 20.14357936 14.13689335 24.48504894]
498.0;[ 8.68760351 21.99377933 21.07867066  9.82708429]
218.0;[10.03942587 29.34174237 18.73746335 28.50940574]
429.0;[23.02426952 24.7502776  12.19920905 13.53925234]
188.0;[12.01894882 29.85414481  5.32692528 28.87790709]
274.0;[12.57750811 12.7215734  13.89446609 11.21169446]
317.0;[13.96524301  1.05504784  2.52818009 21.97562094]
312.0;[19.08599981  0.83723367  9.00510179  6.62557562]
300.0;[ 1.6505998  15.69738212 12.49108972  1.44656249]
400.0;[17.17213547 24.10549952  3.40805159  8.31351643]
322.0;[19.25034275 14.78211916 15.19668227 13.8432078 ]
345.0;[26.84229222 18.17333079 18.1006681  13.31615569]
244.0;[14.4014035  26.65342582  6.25501465 28.33744386]
178.0;[ 2.20410132 17.8545737   0.93453213 19.95772298]
331.0;[19.12156485 25.87395487 28.24913137 13.3688116 ]
416.0;[20.09872897 27.72992099 18.582704    9.67757198]
399.0;[ 9.58428933  8.74370055 28.72252271 12.17875029]
253.0;[28.39667467 25.71571676 20.66782998  0.09863906]
244.0;[27.00310499 27.59594613  0.17728068 19.28778445]
368.0;[11.55650941 17.87225683 18.32421167 17.98857565]
310.0;[ 9.36851991  2.09621024 24.02202703 27.3430215 ]
344.0;[ 5.84023887  6.31822917 11.32322347 12.08541631]
416.0;[26.55533083  6.0646303  12.57044482 19.4387752 ]
352.0;[15.34928858 10.01497457 23.35420302  4.06305404]
436.0;[ 5.75132317 12.07767444 23.60533396  7.61424582]
230.0;[ 3.28456264 27.92028043  3.79161851 18.15016171]
416.0;[ 8.7036581  18.79588176 19.78427862  2.03178485]
300.0;[10.66328774 10.04172232  5.32519102  0.24010019]
232.0;[ 0.31315206 17.92376414  2.53915561  9.47004711]
241.0;[29.05854987 26.20747654 27.38351983  5.09694783]
413.0;[ 9.50423702  7.25340707 14.72864909 16.31830229]
371.0;[12.16363161 22.2723094  19.31199047 19.78030052]
441.0;[ 4.47671056 22.39751369 19.24342787  8.94693088]
382.0;[11.27483686 29.65883596 10.33784821 10.30335002]
382.0;[18.40960363 18.55178138  0.40060267 17.23298384]
321.0;[23.33038356 28.49646231 21.08946519  3.486172  ]
385.0;[ 7.39804434 12.56816042 18.9609464   2.8641076 ]
320.0;[11.70927628  9.65902763 29.13975882 29.07547139]
360.0;[22.30253905 15.53067885  4.93439868 28.48144711]
259.0;[27.65477864 26.47712101  1.531158   23.24820646]
237.0;[ 3.17685457 27.161876   17.63659454 29.64269273]
453.0;[12.8598407  18.89549937 23.28844003  7.79452463]
420.0;[19.16739208 24.80399925 15.63915775 12.73455417]
274.0;[15.93009113 28.37934368 29.97820986 20.12770767]
229.0;[23.68728411 29.44762664  4.24675236  0.7886106 ]
407.0;[22.39328284 18.49764222  2.97614098 15.65708026]
352.0;[15.22295944  8.57079078  7.45315468  5.41047541]
402.0;[17.51469201  4.61755822 21.35182763 25.76257216]
437.0;[20.59324112  7.95388826 11.91098121 15.39048076]
455.0;[10.32612662 16.36806981 20.58350204  8.99078685]
346.0;[ 6.4607347  23.6492637  23.27546838  1.25177852]
287.0;[19.36456109  3.84579308 16.42957509  8.7457034 ]
233.0;[24.77535349  2.92057116 26.92535734 10.25967438]
272.0;[ 3.96255915 13.72748845  2.53313424 22.2067978 ]
306.0;[10.91213456 10.00683487  3.19273991  5.5843686 ]
351.0;[15.57746414  3.37866837 14.51776768 27.94465131]
432.0;[11.96565583  5.41175954 24.16476121 19.82206386]
399.0;[18.40305344  3.71646465 10.5462464  14.19299405]
271.0;[11.35155902  6.65770999  6.80640869  4.28484435]
408.0;[21.88275364  3.69034828  9.59333922 11.74978862]
316.0;[ 1.13823658  4.65033861  5.11947019 23.10936617]
306.0;[ 7.17595623 22.41510262 10.42482554 19.83640105]
466.0;[19.63661999  6.98927829 12.6292431  20.29630547]
349.0;[18.16035859 18.2604152   1.18450265 27.16307864]
324.0;[26.67169143  5.36043848 11.63710585 27.22903782]
389.0;[13.56394651 12.9987941  21.28836808  4.82706414]
274.0;[25.91255478  0.41587744  2.22279628 11.27747229]
289.0;[ 7.48090569 15.37870035  4.30440771 19.24966504]
432.0;[16.17316511 24.89742527  8.07374724  5.13167165]
264.0;[15.79298293  7.25566226 13.68642337  3.49446034]
242.0;[17.99419884 25.09904678 27.36995734 28.51881216]
366.0;[17.44588108 15.44070918 23.30148636 20.16291978]
266.0;[ 4.91362622 12.82675066  4.63177982 17.00104792]
338.0;[15.27309269 13.61335548 29.73033816 27.00439657]
360.0;[ 4.54277338 18.23024256 14.3461294  24.85873339]
241.0;[27.88276353 24.86295324  0.80301111 26.70812455]
405.0;[ 4.9289544  10.01916824 11.31903478 24.54842802]
264.0;[ 5.94159261  5.28078141 29.77308159  1.34096233]
318.0;[ 9.32546657 12.34750714  6.75789761  8.11808642]
269.0;[ 3.2165318  24.33061998  7.37940263 19.01555147]
340.0;[10.8131367   0.14588063  7.41662694 24.89721586]
300.0;[12.33480967  2.69743752 29.242125   19.57086792]
206.0;[19.68466759 27.82548813 27.99067856 26.34769767]
462.0;[12.04575937  8.36848983 14.4277499  22.70462494]
389.0;[15.2664774  11.25819566 17.93254992 19.26489556]
283.0;[29.35589537 18.64614586 11.80201295 28.04515115]
382.0;[21.95462239 12.91708895 13.7855138  29.96371227]
222.0;[28.90794552  0.19558809 25.37865512 10.87443402]
347.0;[11.91859845  8.83378938 18.443885    5.29906738]
323.0;[ 6.25145552  6.48864674 16.84280473  3.09261982]
257.0;[ 9.33977931 24.20644711 14.58105196 28.6720294 ]
408.0;[21.43671026  3.45736003 13.43585385 15.8030844 ]
222.0;[26.89010589 27.60759456  1.59850944 27.29102003]
316.0;[20.67220379 17.23322412 27.54979829 12.15091876]
335.0;[20.173518   24.7645679  24.48025097 16.81087662]
359.0;[16.79068912 25.74037916  6.16603853 21.4722275 ]
158.0;[24.47614628  3.5782957  25.46016486  3.75666804]
240.0;[ 1.61143058 14.11891974 28.16251937 28.42614936]
392.0;[17.60319003 24.39406776  7.53763715 19.23394697]
314.0;[ 4.97341073  7.59968088 27.94066502 26.91994809]
317.0;[22.28718979 14.2051009  26.41650905  5.12096411]
366.0;[15.23603178 17.97541942  1.11731892 24.46614796]
319.0;[ 8.44770809 27.75903279 27.99123724 23.63452514]
417.0;[24.80730935  9.09188855  4.75650706 10.99349129]
291.0;[11.79766478 28.07500573 24.89640896 25.21469963]
307.0;[20.80185415 23.93753019 13.93708175 26.99736624]
241.0;[29.11050971 12.33569505 27.16769482 21.37746618]
323.0;[19.25991061 15.77433282 28.32642581 10.87597648]
336.0;[ 4.19671605  1.80852915 24.24328857 16.13505583]
475.0;[ 7.17907887 10.26549255 19.72967018 22.45835342]
392.0;[ 2.56078765 18.66692553 18.12327585 23.85573243]
420.0;[ 6.72903754  4.8465286  22.51701982 11.63627182]
413.0;[ 3.64616946 13.1309585  23.94691393 10.37477513]
307.0;[ 5.96603929 22.96860009  1.97002058  2.86757511]
344.0;[ 0.82497464 24.05064352 10.60278551  6.18863971]
279.0;[ 0.07662589  8.03589851  4.27115357 26.23762392]
326.0;[ 3.35357257 22.95686185 15.50705203  1.17989953]
311.0;[ 5.97472426 10.28879212 10.94153888  8.91213466]
334.0;[19.26206671  2.76149373  2.48552318 16.17359581]
266.0;[ 9.28926356 20.14915622  8.45564365 20.37964578]
415.0;[26.39840812 10.39765352  7.7146514  22.36721302]
368.0;[ 4.11062873 15.6945574  27.75124726  8.75990464]
358.0;[22.52563382 12.19366337 25.1570087  22.37852733]
158.0;[ 0.80385867 26.82358578  5.05676455 26.40702347]
334.0;[11.86957936  1.57212741 26.47769419 18.97960256]
424.0;[ 8.6937975  26.02444873  7.77242014  9.87906217]
324.0;[16.62207477 18.05620925 14.11491333 23.74513162]
351.0;[16.23533513 19.87009804  2.35973301 27.13552864]
407.0;[ 2.4264305  20.69222397 18.53194925  7.69860522]
229.0;[29.9922579  25.77861434 14.27285554 29.96136934]
410.0;[12.10251739 13.04790778 20.65340152  7.9242498 ]
399.0;[13.23377309 20.15465809  7.28534436 13.3813689 ]
301.0;[ 2.88693117 28.48255842 18.41099496  4.20655755]
368.0;[16.68542117  2.22680379 13.46953095 25.05458059]
407.0;[19.39991274 11.93224806 19.33384989 27.82467912]
297.0;[ 6.80371641 26.91105336  7.65014575 18.65508098]
351.0;[ 4.43650366 14.81329909 28.4331349  13.52174742]
399.0;[21.85309921 14.32992767  1.70251173 14.41218755]
290.0;[ 7.92307482 29.15032412 23.63211017 26.52739883]
317.0;[17.3637311  29.37072851 26.91045112 13.85949113]
299.0;[17.851915    8.89510083 12.58451707  1.41487989]
386.0;[21.77744708 10.29648327 13.17113507 11.93445797]
306.0;[25.87345041  8.32842923 18.34176541  6.57396349]
